cell_id,x,y,cell_type,unique_region,true_organization,true_border,true_border_operational,signed_distance,distance_from_border,window_frac_B,Neighborhood
20,121.62031140178442,540.2629869058728,5,1,A,False,False,-504.07921651185944,504.07921651185944,0.0,A
21,631.9837952032685,54.328075144439936,2,1,A,False,False,-126.22667063149298,126.22667063149298,0.0,A
22,65.45101013034582,291.37184377759695,6,1,A,False,False,-545.0374004569645,545.0374004569645,0.0,A
23,1041.0298956558108,466.7505822144449,3,1,B,False,False,347.87231631562764,347.87231631562764,1.0,B
24,583.2533980719745,1143.3571698144078,5,1,A,True,False,-62.9194061540117,62.9194061540117,0.0,A
25,816.7520924471319,901.4324080199003,5,1,A,True,False,-48.36059515243528,48.36059515243528,0.0,A
26,1441.4498386904597,1162.755835801363,4,1,B,False,False,688.8305919976137,688.8305919976137,1.0,B
27,60.71885582059622,1316.209711600095,2,1,A,False,False,-477.33253904571603,477.33253904571603,0.0,A
28,28.271089307963848,761.6890696808696,1,1,A,False,False,-578.6853603312219,578.6853603312219,0.0,A
29,10.010631289333105,1195.2306465245783,6,1,A,False,False,-600.4369585003092,600.4369585003092,0.0,A
30,108.70080068707466,56.260859593749046,1,1,A,False,False,-508.8919288492291,508.8919288492291,0.0,A
31,1410.764432977885,908.515106420964,4,1,B,False,False,520.295818240007,520.295818240007,1.0,B
32,316.70872773975134,1139.1490995883942,2,1,A,False,False,-277.7160876060627,277.7160876060627,0.0,A
33,868.8568691723049,308.636368252337,5,1,B,True,False,53.1600894647345,53.1600894647345,1.0,B
34,881.1875232495368,0.6265849806368351,6,1,B,True,False,88.79960269507778,88.79960269507778,1.0,B
35,878.2736049033701,52.908651530742645,5,1,B,True,False,53.007025212327875,53.007025212327875,1.0,A
36,946.4826551266015,1394.079688936472,7,1,B,False,False,138.12525130769802,138.12525130769802,1.0,B
37,915.4534405097365,1316.3731545209885,6,1,B,False,False,194.2781146309414,194.2781146309414,1.0,B
38,112.69828397780657,1139.4241810776293,7,1,A,False,False,-441.1418787813949,441.1418787813949,0.0,A
39,1275.1339981332421,900.3997785039246,6,1,B,False,False,396.65417859964725,396.65417859964725,1.0,B
40,728.09235798195,625.5048452876508,3,1,B,True,False,40.08616061647094,40.08616061647094,1.0,B
41,747.4725069478154,549.0371352061629,8,1,B,False,False,111.75740991088402,111.75740991088402,1.0,B
42,939.5961030386388,608.6836298927665,7,1,B,False,False,223.43142904101217,223.43142904101217,1.0,B
43,1045.104876626283,601.9082958810031,5,1,B,False,False,319.6618820700182,319.6618820700182,1.0,B
44,210.14535846188664,86.23270969837904,1,1,A,False,False,-494.1449016631761,494.1449016631761,0.0,A
45,959.0501971542835,462.5395769253373,3,1,B,False,False,269.59349844288164,269.59349844288164,1.0,B
46,892.4559191800654,1314.6184883080423,6,1,B,False,False,178.29608753553993,178.29608753553993,1.0,B
47,1495.0525327585638,1295.2441982924938,4,1,B,False,False,710.777380948077,710.777380948077,1.0,B
48,1489.5085017196834,456.83860033750534,6,1,B,False,False,712.4298848670214,712.4298848670214,1.0,B
49,925.0167547725141,124.0210966207087,5,1,B,True,False,60.8265949289367,60.8265949289367,1.0,B
50,613.1649753078818,237.4549973756075,5,1,A,False,False,-206.93518246409508,206.93518246409508,0.0,A
51,740.2995899319649,199.0693132393062,2,1,A,False,False,-123.65715364750938,123.65715364750938,0.0,A
52,1221.2228486314416,1463.6686560697854,3,1,B,False,False,301.11880646531614,301.11880646531614,1.0,B
53,651.4442847110331,883.5137905552983,1,1,A,False,False,-217.47143102520366,217.47143102520366,0.0,A
54,1012.8133543767035,260.20679203793406,7,1,B,False,False,141.26996262995326,141.26996262995326,1.0,B
55,589.0824194066226,689.930368680507,5,1,A,False,False,-102.34054702477228,102.34054702477228,0.0,A
56,1020.9541535004973,875.9874156676233,8,1,B,False,False,150.951988418172,150.951988418172,1.0,B
57,226.9611982628703,930.0762307830155,7,1,A,False,False,-559.8020998922084,559.8020998922084,0.0,A
58,703.5991279408336,681.6809833981097,6,1,A,True,True,-18.33813036541958,18.33813036541958,0.35,A
59,7.376605644822121,682.8155424445868,5,1,A,False,False,-495.87930398303547,495.87930398303547,0.0,A
60,36.771987564861774,141.26095874235034,7,1,A,False,False,-788.1031122030207,788.1031122030207,0.0,A
61,120.60008430853486,576.3240521773696,8,1,A,False,False,-470.7260402604329,470.7260402604329,0.0,A
62,308.01113275811076,129.88399900496006,6,1,A,False,False,-508.39925952670046,508.39925952670046,0.0,A
63,721.5043636970222,420.1001054607332,2,1,B,True,False,31.76834417368189,31.76834417368189,0.85,B
64,912.1633884496987,988.0797998048365,6,1,B,True,False,72.92791536819304,72.92791536819304,1.0,B
65,1363.5738962329924,1424.9017867259681,3,1,B,False,False,404.74477094905023,404.74477094905023,1.0,B
66,1174.2705130018294,632.3676723986864,3,1,B,False,False,369.04107433459876,369.04107433459876,1.0,B
67,1114.9087683297694,925.7836793549359,6,1,B,False,False,232.36384924918272,232.36384924918272,1.0,B
68,1213.8783247210085,767.2723741270602,7,1,B,False,False,296.1109667146228,296.1109667146228,1.0,B
69,1068.379757925868,69.67253051698208,3,1,B,False,False,186.89849693416136,186.89849693416136,1.0,B
70,152.51983841881156,277.1887583658099,1,1,A,False,False,-509.53725351638167,509.53725351638167,0.0,A
71,1016.9538832269609,334.6321159042418,7,1,B,False,False,171.27657074746068,171.27657074746068,1.0,B
72,723.8411391153932,814.7477614693344,1,1,A,False,False,-112.84360978676173,112.84360978676173,0.0,A
73,701.4933102764189,1467.6845711655915,1,1,A,True,False,-87.64914385936864,87.64914385936864,0.0,A
74,485.0705391727388,749.5727883651853,6,1,A,False,False,-226.98527161068407,226.98527161068407,0.0,A
75,683.6553448811173,81.79194945842028,7,1,A,False,False,-114.6050658398105,114.6050658398105,0.0,A
76,1109.2453747987747,408.6995073594153,5,1,B,False,False,307.092695564637,307.092695564637,1.0,B
77,730.2509886212647,1056.7086786031723,5,1,A,True,True,-8.531719485671942,8.531719485671942,0.35,A
78,1370.1056940481067,397.58984092622995,4,1,B,False,False,478.31528825397737,478.31528825397737,1.0,B
79,1237.2968383133411,1371.9259137287736,3,1,B,False,False,357.9328740533857,357.9328740533857,1.0,B
80,1175.5313565954566,1245.6742250360548,7,1,B,False,False,533.0463121583405,533.0463121583405,1.0,B
81,914.9812222458422,757.4395230039954,6,1,B,True,False,77.21270521235726,77.21270521235726,1.0,B
82,61.02908542379737,405.0948014482856,2,1,A,False,False,-458.6535486301438,458.6535486301438,0.0,A
83,1304.8162325285375,732.088434509933,4,1,B,False,False,362.23222423116414,362.23222423116414,1.0,B
84,1403.5871126689017,1017.1115761622787,4,1,B,False,False,430.84414727968806,430.84414727968806,1.0,B
85,634.3618165701628,75.63696848228574,1,1,A,False,False,-146.3681748924961,146.3681748924961,0.0,A
86,364.084058906883,1123.0562101118267,2,1,A,False,False,-237.85666441181638,237.85666441181638,0.0,A
87,1145.8644638769329,1260.3581459261477,3,1,B,False,False,483.29819134625694,483.29819134625694,1.0,B
88,736.9426321238279,1304.5062446035445,6,1,B,True,False,63.470035079170856,63.470035079170856,1.0,B
89,343.17402821034193,970.7031855359674,2,1,A,False,False,-376.00396292981685,376.00396292981685,0.0,A
90,1294.7328854352236,398.50070094689727,6,1,B,False,False,425.91145314404076,425.91145314404076,1.0,B
91,132.88235943764448,1389.0097732655704,5,1,A,False,False,-412.913450570603,412.913450570603,0.0,A
92,532.9238721169531,584.4805701635778,6,1,A,False,False,-99.77116060994686,99.77116060994686,0.0,A
93,610.798392444849,912.3713518492877,8,1,A,False,False,-237.99530270331857,237.99530270331857,0.0,A
94,1387.5260925851762,1116.18190119043,4,1,B,False,False,525.7269310577764,525.7269310577764,1.0,B
95,1480.6769164279103,655.8887078426778,3,1,B,False,False,551.1023507569676,551.1023507569676,1.0,B
96,75.11704880744219,1031.0778398998082,7,1,A,False,False,-476.65215203674217,476.65215203674217,0.0,A
97,550.5769397132099,89.79561924934387,1,1,A,False,False,-229.26821095851372,229.26821095851372,0.0,A
98,667.4525742419064,771.1410708725452,2,1,A,False,False,-116.53393809665215,116.53393809665215,0.0,A
99,1087.3154047876596,489.38743863254786,3,1,B,False,False,427.4167353079925,427.4167353079925,1.0,B
100,1327.255509328097,186.60691380500793,8,1,B,False,False,455.06017514161186,455.06017514161186,1.0,B
101,1112.1440576389432,4.2097982950508595,1,1,B,False,False,243.40630398192403,243.40630398192403,1.0,B
102,138.30561842769384,583.4960332140326,5,1,A,False,False,-446.8827994216876,446.8827994216876,0.0,A
103,23.8614734262228,908.4486477077007,2,1,A,False,False,-801.1064438192789,801.1064438192789,0.0,A
104,351.97540232911706,734.5231859944761,6,1,A,False,False,-303.38043462712096,303.38043462712096,0.0,A
105,131.23304257169366,1092.0217540115118,2,1,A,False,False,-405.9979890049097,405.9979890049097,0.0,A
106,324.6821123175323,987.6908236183226,8,1,A,False,False,-361.11777578913666,361.11777578913666,0.0,A
107,702.2723047994077,571.7323953285813,6,1,B,True,False,56.65703431515903,56.65703431515903,1.0,B
108,552.6747372932732,1137.5255193561316,5,1,A,True,False,-89.46776184331307,89.46776184331307,0.0,A
109,1474.9523769132793,871.7736401595175,4,1,B,False,False,604.7086546021922,604.7086546021922,1.0,B
110,718.5822576284409,245.32952578738332,6,1,A,False,False,-108.26704547820313,108.26704547820313,0.0,A
111,981.8195421248674,786.2016940489411,6,1,B,False,False,117.20796409096963,117.20796409096963,1.0,B
112,199.695888441056,673.7627196125686,2,1,A,False,False,-360.68033646117226,360.68033646117226,0.0,A
113,122.00056342408061,1358.4291078150272,2,1,A,False,False,-412.51147917574724,412.51147917574724,0.0,A
114,1110.817744396627,992.8763508796692,3,1,B,False,False,220.1622306423644,220.1622306423644,1.0,B
115,1129.214613698423,1341.7181647382677,3,1,B,False,False,321.0988182485349,321.0988182485349,1.0,B
116,1272.0157247968018,852.3848969489336,3,1,B,False,False,395.2678272662094,395.2678272662094,1.0,B
117,316.2955013103783,1379.7753173857927,1,1,A,False,False,-282.83217854944934,282.83217854944934,0.0,A
118,1287.9918068647385,1388.6111271567643,3,1,B,False,False,375.42484681124137,375.42484681124137,1.0,B
119,543.2816692627966,1385.0289755500853,7,1,A,False,False,-130.33925644160982,130.33925644160982,0.0,A
120,500.6830464117229,1114.3037318252027,6,1,A,False,False,-136.46637671434075,136.46637671434075,0.0,A
121,733.9890813454986,913.0790275521576,7,1,A,False,False,-121.39993097527889,121.39993097527889,0.0,A
122,465.3271618299186,1108.7890500202775,6,1,A,False,False,-164.1614789289528,164.1614789289528,0.0,A
123,1320.211443118751,1421.7539154924452,6,1,B,False,False,375.94193656701486,375.94193656701486,1.0,B
124,1362.4983080662787,158.472562674433,3,1,B,False,False,487.67467797199066,487.67467797199066,1.0,B
125,626.9356138072908,352.95667592436075,6,1,A,True,False,-81.58004804878559,81.58004804878559,0.0,A
126,1246.6685031540692,1215.9294127486646,4,1,B,False,False,613.9199996698028,613.9199996698028,1.0,B
127,22.360618226230145,324.53673938289285,5,1,A,False,False,-520.8035588285219,520.8035588285219,0.0,A
128,786.7948394268751,704.988936893642,7,1,B,True,False,21.391232478204888,21.391232478204888,0.8,B
129,1298.3115739189088,1435.337777249515,8,1,B,False,False,357.05025180030407,357.05025180030407,1.0,B
130,272.81399304047227,1214.0649282373488,2,1,A,False,False,-355.7870983783222,355.7870983783222,0.0,A
131,829.3826817534864,887.0528521947563,6,1,A,True,False,-39.64850307930453,39.64850307930453,0.1,A
132,1078.5341053269804,362.7606946974993,3,1,B,False,False,233.68214617486575,233.68214617486575,1.0,B
133,715.8528068102896,1470.7518070936203,1,1,A,True,False,-79.58283757246492,79.58283757246492,0.0,A
134,1451.4554645866156,79.78135021403432,3,1,B,False,False,483.2624693987995,483.2624693987995,1.0,B
135,64.67644684016705,1440.4623820446432,1,1,A,False,False,-512.9801616962504,512.9801616962504,0.0,A
136,516.383686568588,747.9960825294256,6,1,A,False,False,-202.7750703622734,202.7750703622734,0.0,A
137,762.129973154515,602.2065449506044,4,1,B,True,False,86.04601192711104,86.04601192711104,1.0,B
138,351.2456067837775,125.21454272791743,1,1,A,False,False,-459.61815349095025,459.61815349095025,0.0,A
139,1171.118882484734,114.27325336262584,8,1,B,False,False,278.08163457401,278.08163457401,1.0,B
140,367.33365431427956,382.2894492186606,5,1,A,False,False,-242.40314861049518,242.40314861049518,0.0,A
141,93.4461560100317,1487.9414909519255,2,1,A,False,False,-590.9417960627313,590.9417960627313,0.0,A
142,768.502140417695,749.7784774750471,5,1,A,True,True,-23.921048158147872,23.921048158147872,0.3,A
143,435.9675538726151,196.00927038118243,5,1,A,False,False,-423.36072386913645,423.36072386913645,0.0,A
144,1035.2950575761497,861.0707586631179,5,1,B,False,False,164.75219335898595,164.75219335898595,1.0,B
145,759.9878241308033,1006.1368905007839,5,1,A,True,False,-25.556417028332003,25.556417028332003,0.15,A
146,1087.2078789398074,748.8210001029074,8,1,B,False,False,204.94798299857013,204.94798299857013,1.0,B
147,1384.0110856108367,882.6018241234124,4,1,B,False,False,512.9090624362937,512.9090624362937,1.0,B
148,589.8796669207513,632.0245619863272,5,1,A,True,False,-68.49251418156487,68.49251418156487,0.0,A
149,1003.8273883983493,856.3675568439066,1,1,B,False,False,133.37470634339115,133.37470634339115,1.0,B
150,1113.1194750778377,968.059035949409,7,1,B,False,False,220.81942599703729,220.81942599703729,1.0,B
151,1151.6256951726973,1098.873202688992,4,1,B,False,False,324.0380446556352,324.0380446556352,1.0,B
152,1140.4461502097547,1029.9066114239395,4,1,B,False,False,253.20540096367074,253.20540096367074,1.0,B
153,686.028344091028,478.6978019401431,8,1,B,True,False,42.012104330872276,42.012104330872276,1.0,B
154,461.841213516891,1321.2104430422187,5,1,A,False,False,-162.6309832702024,162.6309832702024,0.0,A
155,597.4644692614675,1365.2872941456735,1,1,A,True,False,-80.81924962254556,80.81924962254556,0.0,A
156,1362.2906869277358,963.8446066528559,4,1,B,False,False,418.56421677435264,418.56421677435264,1.0,B
157,145.05940955132246,485.1054805330932,2,1,A,False,False,-460.8088635474024,460.8088635474024,0.0,A
158,430.5697060190141,910.3937787003815,8,1,A,False,False,-410.79560281483964,410.79560281483964,0.0,A
159,619.6563499979675,389.5655502565205,5,1,A,True,False,-62.35225277693212,62.35225277693212,0.0,A
160,1484.4043054617941,377.8711734339595,3,1,B,False,False,528.6649615860864,528.6649615860864,1.0,B
161,541.9690799899399,261.34215435013175,5,1,A,False,False,-234.59369749868003,234.59369749868003,0.0,A
162,1101.2684809975326,686.0062619671226,4,1,B,False,False,250.2833523337989,250.2833523337989,1.0,B
163,1252.4967603385448,1339.5906225778162,3,1,B,False,False,414.83551974486863,414.83551974486863,1.0,B
164,840.7511017285287,465.25363298133016,7,1,B,False,False,169.87763319177648,169.87763319177648,1.0,B
165,1350.2524886280298,751.9244193099439,2,1,B,False,False,393.6738992070886,393.6738992070886,1.0,B
166,576.9131407141685,157.66429156064987,8,1,A,False,False,-287.65671967754906,287.65671967754906,0.0,A
167,1068.265431560576,1229.9856282770634,7,1,B,False,False,437.63751686145173,437.63751686145173,1.0,B
168,186.75016053020954,1172.5800423882902,1,1,A,False,False,-410.01712372237796,410.01712372237796,0.0,A
169,55.325312074273825,216.80279821157455,6,1,A,False,False,-750.0074036412741,750.0074036412741,0.0,A
170,1295.5708298832178,1477.399345021695,7,1,B,False,False,361.1427403966982,361.1427403966982,1.0,B
171,714.6678417921066,131.82984525337815,5,1,A,False,False,-135.63134713516965,135.63134713516965,0.0,A
172,481.11535515636206,29.054646380245686,5,1,A,False,False,-207.74008341228512,207.74008341228512,0.0,A
173,755.7700057514012,858.6681825108826,1,1,A,False,False,-111.57044608411906,111.57044608411906,0.0,A
174,1429.8306279815733,943.3943289332092,3,1,B,False,False,494.3158470260365,494.3158470260365,1.0,B
175,809.2700131237507,1309.0907139703631,6,1,B,False,False,118.02107057231845,118.02107057231845,1.0,B
176,172.74227505549788,272.2226162441075,1,1,A,False,False,-504.7501285908834,504.7501285908834,0.0,A
177,1292.4205251038074,34.50214862823486,3,1,B,False,False,353.09154569809124,353.09154569809124,1.0,B
178,299.1555514745414,1180.8780636638403,5,1,A,False,False,-314.0970510228149,314.0970510228149,0.0,A
179,364.257856272161,1418.311265297234,1,1,A,False,False,-277.8169473122504,277.8169473122504,0.0,A
180,234.25860749557614,282.29559073224664,7,1,A,False,False,-437.6849410925576,437.6849410925576,0.0,A
181,1151.7582689411938,455.88058652356267,7,1,B,False,False,423.2562855875992,423.2562855875992,1.0,B
182,1336.1012153327465,1166.9682213105261,7,1,B,False,False,608.3049504099861,608.3049504099861,1.0,B
183,134.35184117406607,1046.2069069035351,1,1,A,False,False,-421.78837529923067,421.78837529923067,0.0,A
184,609.0139453299344,834.6486333757639,2,1,A,False,False,-236.55796030574416,236.55796030574416,0.0,A
185,697.4704563617706,1128.056994639337,6,1,B,True,False,19.172362033800265,19.172362033800265,0.8,A
186,215.0124181061983,1057.2129297070205,2,1,A,False,False,-359.1191601296041,359.1191601296041,0.0,A
187,732.663691509515,492.1355461701751,6,1,B,True,False,93.02570411997463,93.02570411997463,1.0,B
188,1291.3885186426342,1093.3151473291218,5,1,B,False,False,415.66447217950696,415.66447217950696,1.0,B
189,630.0771734677255,1389.5136513747275,4,1,A,True,False,-74.0960548830907,74.0960548830907,0.0,A
190,275.35654697567225,1401.8284287303686,2,1,A,False,False,-324.30372211794503,324.30372211794503,0.0,A
191,597.304092720151,299.11722941324115,6,1,A,False,False,-147.83260184627457,147.83260184627457,0.0,A
192,78.18662747740746,821.4447414502501,1,1,A,False,False,-696.5922618785257,696.5922618785257,0.0,A
193,1091.701333411038,1307.0987169630826,7,1,B,False,False,348.78490214289724,348.78490214289724,1.0,B
194,1157.5445467606187,437.23743595182896,5,1,B,False,False,391.2213965795845,391.2213965795845,1.0,B
195,1368.3895077556372,281.63003688678145,3,1,B,False,False,412.2365520984802,412.2365520984802,1.0,B
196,1216.4699574932456,574.3528297170997,6,1,B,False,False,521.9421047728064,521.9421047728064,1.0,B
197,330.9499332681298,819.7919796220958,2,1,A,False,False,-466.9326683051488,466.9326683051488,0.0,A
198,579.6688226982951,995.2004528604448,2,1,A,False,False,-164.62617128262508,164.62617128262508,0.0,A
199,83.38211383670568,760.1526193320751,8,1,A,False,False,-534.9448842653262,534.9448842653262,0.0,A
200,1446.028879377991,850.3525382839143,6,1,B,False,False,563.4295849464022,563.4295849464022,1.0,B
201,437.7589775249362,752.3138425312936,5,1,A,False,False,-264.3475439464661,264.3475439464661,0.0,A
202,749.0560691803694,1267.0579589903355,6,1,B,False,False,102.80011696915682,102.80011696915682,1.0,B
203,648.4075784683228,203.13910022377968,5,1,A,False,False,-210.2998515590699,210.2998515590699,0.0,A
204,459.1002934612334,1369.2342708818614,4,1,A,False,False,-179.27797373951984,179.27797373951984,0.0,A
205,408.95930025726557,1027.4219638668,1,1,A,False,False,-251.22046634628583,251.22046634628583,0.0,A
206,437.06450052559376,398.6647753044963,1,1,A,False,False,-187.6210055502898,187.6210055502898,0.0,A
207,536.0670131631196,902.5207255035639,2,1,A,False,False,-319.3980334065722,319.3980334065722,0.0,A
208,1217.1300435438752,728.9382400922477,4,1,B,False,False,302.2611218473433,302.2611218473433,1.0,B
209,665.3246716596186,1139.51146742329,6,1,B,True,True,1.3579215431938396,1.3579215431938396,0.5,A
210,693.8860290683806,999.011832755059,5,1,A,True,False,-78.48389412437669,78.48389412437669,0.0,A
211,1413.181662093848,206.0834518633783,5,1,B,False,False,525.2020181732003,525.2020181732003,1.0,B
212,653.2686352729797,671.8175718560815,6,1,A,True,False,-46.16367488673847,46.16367488673847,0.1,A
213,526.4195711351931,1381.5289079211652,8,1,A,False,False,-139.67146620251694,139.67146620251694,0.0,A
214,50.41903769597411,920.7929950207472,2,1,A,False,False,-743.6407774519008,743.6407774519008,0.0,A
215,782.4451387859881,582.5455896556377,7,1,B,False,False,120.7662260971423,120.7662260971423,1.0,B
216,119.10313786938787,952.9061783105135,7,1,A,False,False,-593.9473564521038,593.9473564521038,0.0,A
217,520.0844309292734,944.4699282757938,1,1,A,False,False,-277.0827344411233,277.0827344411233,0.0,A
218,804.689256940037,534.1403782367706,4,1,B,False,False,173.61054617984848,173.61054617984848,1.0,B
219,1400.5029648542404,745.8562231622636,3,1,B,False,False,428.77163717742303,428.77163717742303,1.0,B
220,664.448456838727,476.2364183552563,6,1,B,True,True,21.046249927313855,21.046249927313855,0.7,B
221,826.9343487918377,760.7040773145854,5,1,B,True,True,10.83899218787273,10.83899218787273,0.65,A
222,1438.8355775736272,766.3088534027338,5,1,B,False,False,463.8624156249229,463.8624156249229,1.0,B
223,89.91929003968835,288.93010737374425,7,1,A,False,False,-531.9797331313055,531.9797331313055,0.0,A
224,719.8794297873974,928.5285570658743,2,1,A,False,False,-122.2249699166705,122.2249699166705,0.0,A
225,1401.5427832491696,1281.97256103158,4,1,B,False,False,668.9438167855328,668.9438167855328,1.0,B
226,1064.9911318905652,1084.5830622129142,7,1,B,False,False,245.4843434442832,245.4843434442832,1.0,B
227,1155.829658266157,1170.4148291610181,8,1,B,False,False,456.4268214713603,456.4268214713603,1.0,B
228,904.8387492075562,898.2822080142796,6,1,B,True,False,36.548195733904166,36.548195733904166,0.95,B
229,447.6419985294342,1107.171923853457,2,1,A,False,False,-177.5244100446226,177.5244100446226,0.0,A
230,924.4255009107292,1332.5882060453296,3,1,B,False,False,181.65673501692808,181.65673501692808,1.0,B
231,1465.6833345070481,1259.3396622687578,3,1,B,False,False,788.9733052105632,788.9733052105632,1.0,B
232,527.040843386203,1439.3460312858224,3,1,A,False,False,-186.01210949752274,186.01210949752274,0.0,A
233,760.3156082332134,478.7688651122153,4,1,B,False,False,110.18989899156772,110.18989899156772,1.0,B
234,91.50777803733945,1416.261866223067,8,1,A,False,False,-462.53881834997605,462.53881834997605,0.0,A
235,419.6696821600199,259.4993468374014,6,1,A,False,False,-335.41744203636557,335.41744203636557,0.0,A
236,874.2848234251142,984.7709108144045,5,1,B,True,False,43.13885168505869,43.13885168505869,1.0,A
237,1303.2473777420819,845.2686737291515,4,1,B,False,False,420.8468164328621,420.8468164328621,1.0,B
238,663.8218243606389,14.668854419142008,5,1,A,True,False,-69.67671164790787,69.67671164790787,0.0,A
239,1372.1109358593822,1484.633285086602,5,1,B,False,False,425.1705107918702,425.1705107918702,1.0,B
240,249.71838109195232,493.1424264796078,6,1,A,False,False,-368.5208576076393,368.5208576076393,0.0,A
241,1175.3089218400419,897.8966195136309,3,1,B,False,False,300.6564299353013,300.6564299353013,1.0,B
242,1465.4768267646432,367.8659135475755,7,1,B,False,False,503.2947624514495,503.2947624514495,1.0,B
243,256.6285841166973,910.1144406013191,1,1,A,False,False,-576.1892231600827,576.1892231600827,0.0,A
244,382.8224642202258,1351.2849295511842,2,1,A,False,False,-226.42744766493115,226.42744766493115,0.0,A
245,1285.5489472858608,70.54487708956003,8,1,B,False,False,350.7647601585971,350.7647601585971,1.0,B
246,449.9101093970239,997.6803185418248,1,1,A,False,False,-255.59151842039276,255.59151842039276,0.0,A
247,1173.250830732286,501.04745104908943,3,1,B,False,False,526.7587113122692,526.7587113122692,1.0,B
248,1076.3717922382057,213.34760868921876,6,1,B,False,False,200.57234233989792,200.57234233989792,1.0,B
249,872.2674669697881,95.00895068049431,5,1,B,True,False,26.021677716297944,26.021677716297944,0.85,B
250,800.8440993726254,521.0353089496493,3,1,B,False,False,170.64285806872277,170.64285806872277,1.0,B
251,473.92936097458005,441.52905279770494,1,1,A,False,False,-151.75034463515604,151.75034463515604,0.0,A
252,646.5748460032046,420.8079264499247,1,1,A,True,False,-24.323177784876655,24.323177784876655,0.2,A
253,845.9211867302656,689.7725919261575,5,1,B,True,False,72.91276239271787,72.91276239271787,1.0,B
254,1200.307359918952,667.5375388003886,3,1,B,False,False,337.3996354877296,337.3996354877296,1.0,B
255,410.21744767203927,647.0160246826708,7,1,A,False,False,-205.72777805347974,205.72777805347974,0.0,A
256,1258.9928833767772,554.8993251286447,7,1,B,False,False,600.6771667546103,600.6771667546103,1.0,B
257,861.722634639591,257.5730122625828,3,1,B,True,True,18.764302985620986,18.764302985620986,0.7,B
258,188.79599450156093,915.62295332551,2,1,A,False,False,-628.5427475976228,628.5427475976228,0.0,A
259,980.5363132618368,1227.4538450874388,3,1,B,False,False,350.4086246653339,350.4086246653339,1.0,B
260,1046.0502072237432,808.8443381711841,4,1,B,False,False,168.37778902035652,168.37778902035652,1.0,B
261,274.07520823180676,1295.4042060300708,2,1,A,False,False,-319.8448716269291,319.8448716269291,0.0,A
262,739.4626471213996,1451.3824512250721,6,1,A,True,False,-46.020868073834194,46.020868073834194,0.0,A
263,214.16611410677433,540.7901429571211,2,1,A,False,False,-412.29215938336665,412.29215938336665,0.0,A
264,1176.6664911992848,168.11126936227083,5,1,B,False,False,306.2182770765063,306.2182770765063,1.0,B
265,1328.7275838665664,377.08876747637987,6,1,B,False,False,420.00415024775197,420.00415024775197,1.0,B
266,1241.9733256101608,1292.5759661011398,7,1,B,False,False,503.2708534871999,503.2708534871999,1.0,B
267,68.64708568900824,518.6542407609522,2,1,A,False,False,-560.4947839528343,560.4947839528343,0.0,A
268,1116.6993426159024,369.66225737705827,3,1,B,False,False,266.0431556905041,266.0431556905041,1.0,B
269,468.7365749850869,900.1520164310932,8,1,A,False,False,-387.1242853946138,387.1242853946138,0.0,A
270,580.3586966358125,541.1525079980493,4,1,A,True,False,-50.294967745677695,50.294967745677695,0.0,A
271,850.9476673789322,183.1610812805593,6,1,A,True,True,-18.672579563177692,18.672579563177692,0.4,A
